	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Organism	abbreviation	accession
GCA_000006985.1	PRJNA302	SAMN02604006		reference genome	194439	1097.0	Chlorobaculum tepidum TLS	strain=TLS		latest	complete genome	Major	full	2002/07/02	ASM698v1	TIGR	GCF_000006985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/985/GCA_000006985.1_ASM698v1		assembly from type material	Chl_194439.7 (Chlorobium_tepidum)	Chl0	SAMN02604006
GCA_000007925.1	PRJNA419	SAMN02603142		reference genome	167539	1219.0	Prochlorococcus marinus subsp. marinus str. CCMP1375	strain=CCMP1375; SS120		latest	complete genome	Major	full	2003/07/25	ASM792v1	CNRS	GCF_000007925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1		assembly from type material	Prochlorococcus_marinus_str_CCMP1375	P_CCMP1375	SAMN02603142
GCA_000011385.1	PRJNA9606	SAMD00061120		reference genome	251221	33072.0	Gloeobacter violaceus PCC 7421	strain=PCC 7421		latest	complete genome	Major	full	2003/10/03	ASM1138v1	Kazusa	GCF_000011385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/385/GCA_000011385.1_ASM1138v1		assembly from type material	Gloeobacter_violaceus_PCC_7421	G_violaceu	SAMD00061120
GCA_000011485.1	PRJNA220	SAMEA3138210		representative genome	74547	1219.0	Prochlorococcus marinus str. MIT 9313	strain=MIT9313		latest	complete genome	Major	full	2003/08/18	ASM1148v1	DOE Joint Genome Institute	GCF_000011485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/485/GCA_000011485.1_ASM1148v1			Prochlorococcus_marinus_MIT_9313	P_marinus	SAMEA3138210
GCA_000012345.1	PRJNA13989	SAMN02603690		na	335992	198252.0	Candidatus Pelagibacter ubique HTCC1062	strain=HTCC1062		latest	complete genome	Major	full	2005/07/22	ASM1234v1	Oregon State University	GCF_000012345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/345/GCA_000012345.1_ASM1234v1		assembly from type material	Candidatus_Pelagibacter	Cand_Pelag	SAMN02603690
GCA_000012485.1	PRJNA13012	SAMN02598284		representative genome	319225	1100.0	Pelodictyon luteolum DSM 273	strain=DSM 273		latest	complete genome	Major	full	2005/10/26	ASM1248v1	DOE Joint Genome Institute	GCF_000012485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/485/GCA_000012485.1_ASM1248v1		assembly from type material	Chl_319225.5	Chl3	SAMN02598284
GCA_000012565.1	PRJNA10694	SAMN02598261		representative genome	269484	944.0	Ehrlichia canis str. Jake	strain=Jake		latest	complete genome	Major	full	2005/08/12	ASM1256v1	DOE Joint Genome Institute	GCF_000012565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/565/GCA_000012565.1_ASM1256v1			Ehrlichia_canis	E_canis	SAMN02598261
GCA_000012585.1	PRJNA13921	SAMN02598328		representative genome	340177	337090.0	Chlorobium chlorochromatii CaD3	strain=CaD3		latest	complete genome	Major	full	2005/10/26	ASM1258v1	DOE Joint Genome Institute	GCF_000012585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/585/GCA_000012585.1_ASM1258v1			Chl_340177.11	Chl11	SAMN02598328
GCA_000013225.1	PRJNA16252	SAMN02604049		na	321332	321332.0	Synechococcus sp. JA-2-3B'a(2-13)	strain=JA-2-3B'a(2-13)		latest	complete genome	Major	full	2006/02/06	ASM1322v1	TIGR	GCF_000013225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/225/GCA_000013225.1_ASM1322v1			Synechococcus_sp_JA-2-3B_a_2-13	Synechococ	SAMN02604049
GCA_000014265.1	PRJNA318	SAMN02598485		representative genome	203124	1206.0	Trichodesmium erythraeum IMS101	strain=IMS101		latest	complete genome	Major	full	2006/07/06	ASM1426v1	DOE Joint Genome Institute	GCF_000014265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/265/GCA_000014265.1_ASM1426v1			Trichodesmium_erythraeum_IMS101	T_erythrae	SAMN02598485
